CPI,UTKZ,UTKX,UTLB,UTKT,ABJS,PLLU,IUQAAMIH,Bank Rate,XUQAERG,XUQAUSG,XUQABK67,retail,wholesale,other,ABJR,UTID,UTIT,UTIL,UTIP,TMMI,BOKI,ELBJ,DYDC,MGRZ,ABMI,NRJR,CPI1,CPI2,CPI3,UTKZ1,UTKZ2,UTKZ3,UTKX1,UTKX2,UTKX3,UTLB1,UTLB2,UTLB3,UTKT1,UTKT2,UTKT3,ABJS1,ABJS2,ABJS3,PLLU1,PLLU2,PLLU3,IUQAAMIH1,IUQAAMIH2,IUQAAMIH3,Bank Rate1,Bank Rate2,Bank Rate3,XUQAERG1,XUQAERG2,XUQAERG3,XUQAUSG1,XUQAUSG2,XUQAUSG3,XUQABK671,XUQABK682,XUQABK693,retail1,retail2,retail3,wholesale1,wholesale2,wholesale3,other1,other2,other3,ABJR1,ABJR2,ABJR3,UTID1,UTID2,UTID3,UTIT1,UTIT2,UTIT3,UTIL1,UTIL2,UTIL3,UTIP1,UTIP2,UTIP3,TMMI1,TMMI2,TMMI3,BOKI1,BOKI2,BOKI3,ELBJ1,ELBJ2,ELBJ3,DYDC1,DYDC2,DYDC3,MGRZ1,MGRZ2,MGRZ3,ABMI1,ABMI2,ABMI3,NRJR1,NRJR2,NRJR3
0.560225555,-9.25E-05,-0.006359179,0.022974439,-0.00588573,0.008026767,0.001207001,0.010687512,-0.033901552,0.021330525,0.016279349,-0.001125072,-0.611,0.714,1.619,0.01019075,0.013975886,0.054610986,-0.005429252,0.012293489,-0.074413897,0.302214743,0.456042583,-0.004068309,-0.000152085,0.009026608,0.014028207,-0.1403509,1.12836176,-0.141743468,0.006420417,-0.009830588,0.011425991,0.00631899,-1.02E-05,0.03007909,-0.0361467,-0.046089,-0.0039606,-0.034900948,-0.02781067,0.04407333,-0.010711332,-0.001399262,0.006741278,-0.002414002,-0.003635624,0.004842624,0.014112913,0.039840904,0.099084837,0.033901552,0.071458964,0.037740328,-0.019953091,0.021562891,-0.04151456,0.025381177,0.011549021,0.012397567,0.021308161,0.012387362,0.02387043,0.15,-0.337,0.696,1.74,1.515,-0.685,0.826,-2.194,3.169,0.014581591,-0.002040419,0.014484927,0.032395331,-0.074197366,0.073908585,0.056693655,0.024202169,-0.037304886,-0.008960972,0.013766263,0.004776263,0.00659949,0.00438752,0.002043886,-0.0530058,-0.144668751,0.245560147,-1.672977836,0,0,-1.84106062,0,0,-0.003040468,-0.001162051,-0.003982705,-0.000867568,0.00022052,-0.002843707,0.007568303,0.010318257,0.004894139,0.015792813,-0.024886663,0.01142457
0,-9.07E-05,0.001556282,0.00770433,0.033305268,0.002640001,-0.001208459,0.02321404,0.033901552,0.022240855,0.015106321,-0.003428813,0.91,-0.068,-0.553,0.015992775,0.123485699,0.036730751,0.001507238,0.001203288,0.238097649,0.090751797,0.089417776,0.006552064,0.003095966,0.007427032,0.003461324,0.560225555,-0.1403509,1.12836176,-9.25E-05,0.006420417,-0.009830588,-0.0063592,0.00631899,-1.02E-05,0.02297444,-0.0361467,-0.046089,-0.00588573,-0.034900948,-0.02781067,0.008026767,-0.010711332,-0.001399262,0.001207001,-0.002414002,-0.003635624,0.010687512,0.014112913,0.039840904,-0.033901552,0.033901552,0.071458964,0.021330525,-0.019953091,0.021562891,0.016279349,0.025381177,0.011549021,-0.001125072,0.021308161,0.012387362,-0.611,0.15,-0.337,0.714,1.74,1.515,1.619,0.826,-2.194,0.01019075,0.014581591,-0.002040419,0.013975886,0.032395331,-0.074197366,0.054610986,0.056693655,0.024202169,-0.005429252,-0.008960972,0.013766263,0.012293489,0.00659949,0.00438752,-0.074413897,-0.0530058,-0.144668751,0.302214743,-1.672977836,0,0.456042583,-1.84106062,0,-0.004068309,-0.003040468,-0.001162051,-0.000152085,-0.000867568,0.00022052,0.009026608,0.007568303,0.010318257,0.014028207,0.015792813,-0.024886663
0.97290552,-0.003209131,-2.20E-05,0.013847314,-0.007150947,-0.004004376,-0.001212849,-0.088714645,-0.105360516,0.016985636,-0.063625501,-0.030188862,0.106,4.148,2.065,-0.002475313,-0.029513312,-0.013874239,-0.005589904,0.001372401,-0.085509701,0.070839215,0.05029487,0.002250828,1.71E-05,0.009682554,0.001210373,0,0.560225555,-0.1403509,-9.07E-05,-9.25E-05,0.006420417,0.00155628,-0.0063592,0.00631899,0.00770433,0.02297444,-0.0361467,0.033305268,-0.00588573,-0.034900948,0.002640001,0.008026767,-0.010711332,-0.001208459,0.001207001,-0.002414002,0.02321404,0.010687512,0.014112913,0.033901552,-0.033901552,0.033901552,0.022240855,0.021330525,-0.019953091,0.015106321,0.016279349,0.025381177,-0.003428813,-0.001125072,0.021308161,0.91,-0.611,0.15,-0.068,0.714,1.74,-0.553,1.619,0.826,0.015992775,0.01019075,0.014581591,0.123485699,0.013975886,0.032395331,0.036730751,0.054610986,0.056693655,0.001507238,-0.005429252,-0.008960972,0.001203288,0.012293489,0.00659949,0.238097649,-0.074413897,-0.0530058,0.090751797,0.302214743,-1.672977836,0.089417776,0.456042583,-1.84106062,0.006552064,-0.004068309,-0.003040468,0.003095966,-0.000152085,-0.000867568,0.007427032,0.009026608,0.007568303,0.003461324,0.014028207,0.015792813
-0.277008487,0.004608505,0.006160564,-0.02522801,-0.004454867,-7.00E-06,0.003632696,-0.18670514,-0.117783036,-0.03577843,0.005912925,0.00091651,0.166,-1.088,5.773,0.018447209,0.024382381,0.045995649,0.006610763,0.01188144,0.001773724,0.155174955,0.229384818,-0.004500838,-0.001498566,0.005634057,-0.021105899,0.97290552,0,0.560225555,-0.003209131,-9.07E-05,-9.25E-05,-2.20E-05,0.00155628,-0.0063592,0.01384731,0.00770433,0.02297444,-0.007150947,0.033305268,-0.00588573,-0.004004376,0.002640001,0.008026767,-0.001212849,-0.001208459,0.001207001,-0.088714645,0.02321404,0.010687512,-0.105360516,0.033901552,-0.033901552,0.016985636,0.022240855,0.021330525,-0.063625501,0.015106321,0.016279349,-0.030188862,-0.003428813,-0.001125072,0.106,0.91,-0.611,4.148,-0.068,0.714,2.065,-0.553,1.619,-0.002475313,0.015992775,0.01019075,-0.029513312,0.123485699,0.013975886,-0.013874239,0.036730751,0.054610986,-0.005589904,0.001507238,-0.005429252,0.001372401,0.001203288,0.012293489,-0.085509701,0.238097649,-0.074413897,0.070839215,0.090751797,0.302214743,0.05029487,0.089417776,0.456042583,0.002250828,0.006552064,-0.004068309,1.71E-05,0.003095966,-0.000152085,0.009682554,0.007427032,0.009026608,0.001210373,0.003461324,0.014028207
0.553251757,-0.017079688,-0.009304767,0.003697959,0.001263334,-0.006607646,0.007227481,-0.090670776,-0.133531393,-0.035155085,0.025593032,0.019434832,0.137,-1.239,-2.034,0.016829125,0.0429916,0.033202821,0.016448783,0.007785189,0.047342462,-0.041242959,0.023817565,0.001773486,-0.000820605,0.000619982,0.054083535,-0.277008487,0.97290552,0,0.004608505,-0.003209131,-9.07E-05,0.00616056,-2.20E-05,0.00155628,-0.025228,0.01384731,0.00770433,-0.004454867,-0.007150947,0.033305268,-7.00E-06,-0.004004376,0.002640001,0.003632696,-0.001212849,-0.001208459,-0.18670514,-0.088714645,0.02321404,-0.117783036,-0.105360516,0.033901552,-0.03577843,0.016985636,0.022240855,0.005912925,-0.063625501,0.015106321,0.00091651,-0.030188862,-0.003428813,0.166,0.106,0.91,-1.088,4.148,-0.068,5.773,2.065,-0.553,0.018447209,-0.002475313,0.015992775,0.024382381,-0.029513312,0.123485699,0.045995649,-0.013874239,0.036730751,0.006610763,-0.005589904,0.001507238,0.01188144,0.001372401,0.001203288,0.001773724,-0.085509701,0.238097649,0.155174955,0.070839215,0.090751797,0.229384818,0.05029487,0.089417776,-0.004500838,0.002250828,0.006552064,-0.001498566,1.71E-05,0.003095966,0.005634057,0.009682554,0.007427032,-0.021105899,0.001210373,0.003461324
-0.553251757,0.003086303,-2.37E-06,0.009400169,-0.007672251,-1.58E-05,-0.008438869,-0.026754516,-0.048790164,-0.014768217,-0.015045094,-0.003918484,1.005,-2.585,-0.454,0.008890153,0.020515525,0.015216283,0.011921914,0.004060835,-0.006297708,-0.015193069,0.024571261,0.005620074,0.002349412,0.017689741,0.002446874,0.553251757,-0.277008487,0.97290552,-0.017079688,0.004608505,-0.003209131,-0.0093048,0.00616056,-2.20E-05,0.00369796,-0.025228,0.01384731,0.001263334,-0.004454867,-0.007150947,-0.006607646,-7.00E-06,-0.004004376,0.007227481,0.003632696,-0.001212849,-0.090670776,-0.18670514,-0.088714645,-0.133531393,-0.117783036,-0.105360516,-0.035155085,-0.03577843,0.016985636,0.025593032,0.005912925,-0.063625501,0.019434832,0.00091651,-0.030188862,0.137,0.166,0.106,-1.239,-1.088,4.148,-2.034,5.773,2.065,0.016829125,0.018447209,-0.002475313,0.0429916,0.024382381,-0.029513312,0.033202821,0.045995649,-0.013874239,0.016448783,0.006610763,-0.005589904,0.007785189,0.01188144,0.001372401,0.047342462,0.001773724,-0.085509701,-0.041242959,0.155174955,0.070839215,0.023817565,0.229384818,0.05029487,0.001773486,-0.004500838,0.002250828,-0.000820605,-0.001498566,1.71E-05,0.000619982,0.005634057,0.009682554,0.054083535,-0.021105899,0.001210373
0.828734025,0.010885314,0.006113867,-4.72E-05,0.023104394,0.007962851,0.00119976,0.065229504,0.09531018,-0.025415403,-0.02431809,0.018738676,-0.094,-0.647,-0.61,0.01210244,0.007405462,0.024440792,-0.012892053,0.017711143,-0.005726485,0.029037053,0.086170845,-0.00379985,-0.000715591,0.013654163,0.02061348,-0.553251757,0.553251757,-0.277008487,0.003086303,-0.017079688,0.004608505,-2.37E-06,-0.0093048,0.00616056,0.00940017,0.00369796,-0.025228,-0.007672251,0.001263334,-0.004454867,-1.58E-05,-0.006607646,-7.00E-06,-0.008438869,0.007227481,0.003632696,-0.026754516,-0.090670776,-0.18670514,-0.048790164,-0.133531393,-0.117783036,-0.014768217,-0.035155085,-0.03577843,-0.015045094,0.025593032,0.005912925,-0.003918484,0.019434832,0.00091651,1.005,0.137,0.166,-2.585,-1.239,-1.088,-0.454,-2.034,5.773,0.008890153,0.016829125,0.018447209,0.020515525,0.0429916,0.024382381,0.015216283,0.033202821,0.045995649,0.011921914,0.016448783,0.006610763,0.004060835,0.007785189,0.01188144,-0.006297708,0.047342462,0.001773724,-0.015193069,-0.041242959,0.155174955,0.024571261,0.023817565,0.229384818,0.005620074,0.001773486,-0.004500838,0.002349412,-0.000820605,-0.001498566,0.017689741,0.000619982,0.005634057,0.002446874,0.054083535,-0.021105899
0,0.012153984,-0.001572101,-0.019042485,-0.015860444,0.003934183,0.001195451,0.081425137,0.044451763,-0.030406438,0.023349699,0.016433158,0.044,0.964,-3.162,0.019031168,0.032404526,0.050568696,0.017320104,0.012042011,0.054915758,0.055528142,0.095808358,-0.007215672,-0.002350768,0.008403925,0.006777803,0.828734025,-0.553251757,0.553251757,0.010885314,0.003086303,-0.017079688,0.00611387,-2.37E-06,-0.0093048,-4.72E-05,0.00940017,0.00369796,0.023104394,-0.007672251,0.001263334,0.007962851,-1.58E-05,-0.006607646,0.00119976,-0.008438869,0.007227481,0.065229504,-0.026754516,-0.090670776,0.09531018,-0.048790164,-0.133531393,-0.025415403,-0.014768217,-0.035155085,-0.02431809,-0.015045094,0.025593032,0.018738676,-0.003918484,0.019434832,-0.094,1.005,0.137,-0.647,-2.585,-1.239,-0.61,-0.454,-2.034,0.01210244,0.008890153,0.016829125,0.007405462,0.020515525,0.0429916,0.024440792,0.015216283,0.033202821,-0.012892053,0.011921914,0.016448783,0.017711143,0.004060835,0.007785189,-0.005726485,-0.006297708,0.047342462,0.029037053,-0.015193069,-0.041242959,0.086170845,0.024571261,0.023817565,-0.00379985,0.005620074,0.001773486,-0.000715591,0.002349412,-0.000820605,0.013654163,0.017689741,0.000619982,0.02061348,0.002446874,0.054083535
0.685403643,-0.016893725,-0.006079046,0.015228501,0.004431276,-0.007915609,0.007128671,0.023046884,0,-0.030268106,0.026435219,-0.012019691,-0.388,-2.534,-0.339,0.002600544,0.021562607,0.02524459,-0.001054914,-0.003718417,0.015948935,0.079440209,0.125208919,0.007138411,0.00240355,0.006094798,0.017320627,0,0.828734025,-0.553251757,0.012153984,0.010885314,0.003086303,-0.0015721,0.00611387,-2.37E-06,-0.0190425,-4.72E-05,0.00940017,-0.015860444,0.023104394,-0.007672251,0.003934183,0.007962851,-1.58E-05,0.001195451,0.00119976,-0.008438869,0.081425137,0.065229504,-0.026754516,0.044451763,0.09531018,-0.048790164,-0.030406438,-0.025415403,-0.014768217,0.023349699,-0.02431809,-0.015045094,0.016433158,0.018738676,-0.003918484,0.044,-0.094,1.005,0.964,-0.647,-2.585,-3.162,-0.61,-0.454,0.019031168,0.01210244,0.008890153,0.032404526,0.007405462,0.020515525,0.050568696,0.024440792,0.015216283,0.017320104,-0.012892053,0.011921914,0.012042011,0.017711143,0.004060835,0.054915758,-0.005726485,-0.006297708,0.055528142,0.029037053,-0.015193069,0.095808358,0.086170845,0.024571261,-0.007215672,-0.00379985,0.005620074,-0.002350768,-0.000715591,0.002349412,0.008403925,0.013654163,0.017689741,0.006777803,0.02061348,0.002446874
-0.547946576,-0.003030305,0.010550211,-0.015472751,-0.00786709,-0.001314925,-0.007157017,0,0,-0.010825872,0.017182952,-0.016426137,0.877,-0.202,6.146,0.009452026,0.017219016,0.030404409,0.001423035,0.006059787,-0.001708915,0.173848234,0.167054085,0.001481965,-0.000704185,0.002802775,0.018256367,0.685403643,0,0.828734025,-0.016893725,0.012153984,0.010885314,-0.006079,-0.0015721,0.00611387,0.0152285,-0.0190425,-4.72E-05,0.004431276,-0.015860444,0.023104394,-0.007915609,0.003934183,0.007962851,0.007128671,0.001195451,0.00119976,0.023046884,0.081425137,0.065229504,0,0.044451763,0.09531018,-0.030268106,-0.030406438,-0.025415403,0.026435219,0.023349699,-0.02431809,-0.012019691,0.016433158,0.018738676,-0.388,0.044,-0.094,-2.534,0.964,-0.647,-0.339,-3.162,-0.61,0.002600544,0.019031168,0.01210244,0.021562607,0.032404526,0.007405462,0.02524459,0.050568696,0.024440792,-0.001054914,0.017320104,-0.012892053,-0.003718417,0.012042011,0.017711143,0.015948935,0.054915758,-0.005726485,0.079440209,0.055528142,0.029037053,0.125208919,0.095808358,0.086170845,0.007138411,-0.007215672,-0.00379985,0.00240355,-0.002350768,-0.000715591,0.006094798,0.008403925,0.013654163,0.017320627,0.006777803,0.02061348
